"","Degree","Closeness","Betweennes","Eigenvector","SS","Node","Partition","Country","Level"
"text6401",0,NA,0,1.04199242430476e-17,"text640","text640","Program","Ecuador","Specialization"
"text6414",0,NA,0,1.04199242430476e-17,"text641","text641","Program","Ecuador","Specialization"
"text6421",0,NA,0,1.04199242430476e-17,"text642","text642","Program","Ecuador","Specialization"
"text6431",0,NA,0,1.04199242430476e-17,"text643","text643","Program","Ecuador","Specialization"
"text6441",0,NA,0,1.04199242430476e-17,"text644","text644","Program","Ecuador","Specialization"
"text6451",0,NA,0,1.04199242430476e-17,"text645","text645","Program","Ecuador","Specialization"
"text6461",0,NA,0,1.04199242430476e-17,"text646","text646","Program","Ecuador","Specialization"
"text6471",0,NA,0,1.04199242430476e-17,"text647","text647","Program","Ecuador","Specialization"
"text6481",0,NA,0,1.04199242430476e-17,"text648","text648","Program","Ecuador","Specialization"
"text6491",0,NA,0,1.04199242430476e-17,"text649","text649","Program","Ecuador","Specialization"
"text6501",0,NA,0,1.04199242430476e-17,"text650","text650","Program","Ecuador","Specialization"
"text6514",0,NA,0,1.04199242430476e-17,"text651","text651","Program","Ecuador","Specialization"
"text6541",0,NA,0,1.04199242430476e-17,"text654","text654","Program","Ecuador","Specialization"
"text7021",0,NA,0,1.04199242430476e-17,"text702","text702","Program","Ecuador","Specialization"
"text7041",0,NA,0,1.04199242430476e-17,"text704","text704","Program","Ecuador","Specialization"
"text7051",0,NA,0,1.04199242430476e-17,"text705","text705","Program","Ecuador","Specialization"
"text7071",0,NA,0,1.04199242430476e-17,"text707","text707","Program","Ecuador","Specialization"
"text7081",0,NA,0,1.04199241458245e-17,"text708","text708","Program","Ecuador","Specialization"
"text7121",0,NA,0,1.04199241458245e-17,"text712","text712","Program","Ecuador","Specialization"
"text7161",0,NA,0,1.04199241458245e-17,"text716","text716","Program","Ecuador","Specialization"
"text7271",0,NA,0,1.04199241458245e-17,"text727","text727","Program","Ecuador","Specialization"
